track_name,semester,course_id
Architecture and Town Planning,3,02050923
Architecture and Town Planning,3,02050458
Architecture and Town Planning,3,02050304
Architecture and Town Planning,3,02050543
Architecture and Town Planning,4,02050577
Architecture and Town Planning,4,02050492
Architecture and Town Planning,4,02050000
Architecture and Town Planning,4,02050028
Architecture and Town Planning,4,02050426
Architecture and Town Planning,4,02050826
Architecture and Town Planning,4,02050828
Architecture and Town Planning,5,02050582
Architecture and Town Planning,5,02050459
Architecture and Town Planning,5,02050104
Architecture and Town Planning,5,02050542
Architecture and Town Planning,6,02050586
Architecture and Town Planning,6,02050460
Architecture and Town Planning,6,02050105
Architecture and Town Planning,7,02050427
Architecture and Town Planning,7,02050510
Aeronautics and Astronautics,1,01040041
Aeronautics and Astronautics,1,01040064
Aeronautics and Astronautics,1,01140051
Aeronautics and Astronautics,1,02340128
Aeronautics and Astronautics,1,01250001
Aeronautics and Astronautics,1,03240033
Aeronautics and Astronautics,2,01040043
Aeronautics and Astronautics,2,01040131
Aeronautics and Astronautics,2,01140052
Aeronautics and Astronautics,2,00840506
Aeronautics and Astronautics,2,03140200
Aeronautics and Astronautics,3,01040215
Aeronautics and Astronautics,3,01040228
Aeronautics and Astronautics,3,00840213
Aeronautics and Astronautics,3,00840225
Aeronautics and Astronautics,3,00940411
Aeronautics and Astronautics,4,00840135
Aeronautics and Astronautics,4,00840311
Aeronautics and Astronautics,4,00840515
Aeronautics and Astronautics,4,00840630
Aeronautics and Astronautics,4,00840737
Aeronautics and Astronautics,4,01140054
Aeronautics and Astronautics,5,00440102
Aeronautics and Astronautics,5,00840312
Aeronautics and Astronautics,5,00840314
Aeronautics and Astronautics,5,00840641
Aeronautics and Astronautics,5,00840738
Aeronautics and Astronautics,5,00840154
Aeronautics and Astronautics,6,00440098
Aeronautics and Physics,1,00440102
Aeronautics and Physics,1,01040000
Aeronautics and Physics,1,01040064
Aeronautics and Physics,1,01040012
Aeronautics and Physics,1,01140074
Aeronautics and Physics,1,01140020
Aeronautics and Physics,1,02340128
Aeronautics and Physics,1,03240033
Aeronautics and Physics,2,01040013
Aeronautics and Physics,2,01040038
Aeronautics and Physics,2,01040136
Aeronautics and Physics,2,01140076
Aeronautics and Physics,2,00840506
Aeronautics and Physics,2,01140021
Aeronautics and Physics,3,01040034
Aeronautics and Physics,3,01040220
Aeronautics and Physics,3,01040214
Aeronautics and Physics,3,01040215
Aeronautics and Physics,3,01140086
Aeronautics and Physics,3,01140101
Aeronautics and Physics,3,01140035
Aeronautics and Physics,4,00840311
Aeronautics and Physics,4,00840737
Aeronautics and Physics,4,00840515
Aeronautics and Physics,4,01150203
Aeronautics and Physics,4,01140036
Aeronautics and Physics,4,01140037
Aeronautics and Physics,5,00840154
Aeronautics and Physics,5,00840312
Aeronautics and Physics,5,00840314
Aeronautics and Physics,5,00840738
Aeronautics and Physics,5,01150204
Aeronautics and Physics,5,01140250
Aeronautics and Physics,6,00840135
Aeronautics and Physics,6,00440098
Aeronautics and Physics,6,01140246
Aeronautics and Physics,8,00840630
